Date,Reading,Usage
9/11/2017,91985.504,
9/12/2017,92002.246,16.746
9/13/2017,92021.071,18.825
9/14/2017,92048.86,27.789
9/15/2017,92075.611,26.751
9/16/2017,92111.13,35.519
9/17/2017,92152.387,41.257
9/18/2017,92183.658,31.271
9/19/2017,92218.789,35.131
9/20/2017,92254.356,35.567
9/21/2017,92289.222,34.866
9/22/2017,92317.16,27.938
9/23/2017,92353.476,36.316
9/24/2017,92390.524,37.048
9/25/2017,92420.608,30.084
9/30/2017,92482.903,62.295
10/1/2017,92504.02,21.117
10/2/2017,92530.99,26.97
10/3/2017,92552.116,21.126
10/4/2017,92576.884,24.768
10/6/2017,92621.724,44.84
10/7/2017,92643.655,21.931
10/8/2017,92670.768,27.113
10/9/2017,92699.477,28.709
10/10/2017,92715.428,15.951
10/11/2017,92726.573,11.145
10/12/2017,92738.813,12.24
10/13/2017,92762.3,23.487
10/14/2017,92790.077,27.777
10/15/2017,92806.187,16.11
10/16/2017,92817.81,11.623
10/18/2017,92847.838,30.028
10/19/2017,92862.017,14.179
10/21/2017,92895.275,33.258
10/22/2017,92906.536,11.261
10/23/2017,92922.006,15.47
10/24/2017,92937.034,15.028
10/25/2017,92951.342,14.308
10/26/2017,92962.702,11.36
10/28/2017,92990.503,27.801
10/29/2017,93005.79,15.287
10/30/2017,93020.768,14.978
10/31/2017,93039.362,18.594
11/1/2017,93055.001,15.639
11/3/2017,93081.743,26.742
11/4/2017,93094.584,12.841
11/5/2017,93110.502,15.918
11/7/2017,93136.926,26.424
11/8/2017,93151.727,14.801
11/10/2017,93177.256,25.529
11/11/2017,93186.776,9.52
11/12/2017,93200.329,13.553
11/13/2017,93211.028,10.699
12/25/2017,93618.974,407.9459999999963
12/26/2017,93636.546,17.572000000000116
12/26/2017,93636.546,0.0
12/27/2017,93651.373,14.827
12/31/2017,93709.093,57.72
01/01/2018,93728.748,19.655
01/02/2018,93746.586,17.838
01/06/2018,93804.324,57.738
01/07/2018,93815.219,10.895
01/08/2018,93827.748,12.529
01/09/2018,93840.176,12.428
01/10/2018,93851.57,11.394
01/10/2018,93851.57,0.0
01/13/2018,93900.665,49.095
01/14/2018,93914.879,14.214
01/15/2018,93927.442,12.563
01/16/2018,93944.854,17.412
01/17/2018,93960.581,15.727
01/20/2018,94006.741,46.16
01/21/2018,94016.66,9.91900000001
01/22/2018,94027.939,11.279
01/23/2018,94041.684,13.745
01/24/2018,94054.178,12.494
01/27/2018,94099.476,45.298
01/28/2018,94115.322,15.846
01/30/2018,94155.829,40.507
01/31/2018,94177.474,21.645
02/03/2018,94237.4,59.926
02/05/2018,94280.016,42.61599999999453
02/06/2018,94303.345,23.328999999997905
02/19/2018,94577.634,274.2890000000043
02/21/2018,94613.40000000001,35.76600000000326
02/21/2018,94613.40000000001,0.0
02/21/2018,94613.40000000001,0.0
02/25/2018,94706.227,92.82699999999022
02/25/2018,94706.227,0.0
02/25/2018,94706.227,0.0
